year,precipitation_sum,precipitation_avg,precipitation_min,precipitation_max,temperature_sum,temperature_avg,temperature_min,temperature_max,lat,lon
1941,795.19995,2.1846151,0,32.6,-1039.5201,-2.8558245,-22.764832,16.620583,45.1667,-109.5167
1942,796.5,2.188187,0,24.199999,-1279.3408,-3.5146725,-28.83566,15.106002,45.1667,-109.5167
1943,740,2.032967,0,25.300001,-893.18066,-2.453793,-29.969,15.399751,45.1667,-109.5167
1944,741.4,2.0312328,0,25.5,-954.92883,-2.6162434,-22.046083,14.287251,45.1667,-109.5167
1945,878.10004,2.4057536,0,30,-1328.6641,-3.6401756,-24.752329,14.799747,45.1667,-109.5167
1946,795.7999,2.1862636,0,18.999996,-1081.6702,-2.9716213,-23.898169,15.3185005,45.1667,-109.5167
1947,694.3,1.9074175,0,18.1,-1221.666,-3.3562253,-24.70025,15.914336,45.1667,-109.5167
1948,876.30005,2.4008222,0,23.200005,-701.07874,-1.9207636,-26.212746,15.983085,45.1667,-109.5167
1949,853.6,2.3450549,0,22.200005,-673.4702,-1.8501929,-27.277334,16.918499,45.1667,-109.5167
1950,1005.4,2.762088,0,18.000002,-791.9846,-2.175782,-25.353666,16.663002,45.1667,-109.5167
1951,950,2.6098902,0,27.999998,-1021.5263,-2.806391,-30.801584,17.244253,45.1667,-109.5167
1952,688.9,1.8873973,0,25.2,-284.98834,-0.78079,-24.507835,15.779667,45.1667,-109.5167
1953,806.5,2.2156594,0,15.900001,-204.2721,-0.5611871,-21.126583,16.702585,45.1667,-109.5167
1954,775.2999,2.1299448,0,18.3,-209.86804,-0.57656056,-22.38075,18.229666,45.1667,-109.5167
1955,822.7001,2.260165,0,16.9,-746.3115,-2.0503063,-27.097414,19.054668,45.1667,-109.5167
1956,842.5,2.3082192,0,24.999998,-377.07782,-1.0330899,-25.97658,16.233835,45.1667,-109.5167
1957,869.2,2.387912,0,25.2,-569.42206,-1.5643463,-24.782831,16.660917,45.1667,-109.5167
1958,949.10004,2.6074176,0,28.499998,-139.88666,-0.38430402,-20.484915,16.035917,45.1667,-109.5167
1959,835,2.293956,0,23.7,-612.01166,-1.6813507,-30.799501,17.027582,45.1667,-109.5167
1960,819.89996,2.2463012,0,20.699999,-494.15698,-1.3538548,-25.8245,17.500502,45.1667,-109.5167
1961,931,2.5576923,0,28.600002,-385.88263,-1.0601171,-28.472412,17.3505,45.1667,-109.5167
1962,945.80005,2.5983517,0,28.200003,-384.86377,-1.0573181,-28.407835,14.400501,45.1667,-109.5167
1963,832.6,2.2873626,0,27.999998,-106.959595,-0.29384503,-35.50992,17.129667,45.1667,-109.5167
1964,849.9,2.328493,0,21.3,-561.3485,-1.5379411,-23.347418,16.6505,45.1667,-109.5167
1965,967.89996,2.6590657,0,26.399998,-618.21796,-1.698401,-31.76409,16.377583,45.1667,-109.5167
1966,797.2,2.19011,0,33.699997,-338.12848,-0.9289244,-23.13075,16.815083,45.1667,-109.5167
1967,1026.4,2.8197803,0,21.9,-364.69495,-1.0019091,-21.353666,15.369251,45.1667,-109.5167
1968,977.69995,2.67863,0,26.000002,-651.2217,-1.784169,-25.518248,14.996334,45.1667,-109.5167
1969,761.1,2.090934,0,28.2,-417.0158,-1.1456479,-26.866167,17.50675,45.1667,-109.5167
