year,precipitation_sum,precipitation_avg,precipitation_min,precipitation_max,temperature_sum,temperature_avg,temperature_min,temperature_max,lat,lon
1941,491.3,1.3497252,0,20.8,1164.8606,3.2001665,-16.806833,23.526497,42.90106472,-112.0840505
1942,534.5,1.4684066,0,17.3,927.40857,2.5478258,-24.792252,21.316084,42.90106472,-112.0840505
1943,500,1.3736264,0,24.499998,1242.3085,3.4129353,-22.302666,22.901503,42.90106472,-112.0840505
1944,552.5,1.5136986,0,16.9,945.85596,2.591386,-16.467249,20.266085,42.90106472,-112.0840505
1945,765.99994,2.09863,0,20.6,785.90784,2.1531723,-19.648502,21.93067,42.90106472,-112.0840505
1946,547.9,1.5052198,0,19.3,1028.623,2.8258874,-19.921417,21.816086,42.90106472,-112.0840505
1947,644.10004,1.7695056,0,20.3,929.00433,2.5522096,-21.35475,22.947334,42.90106472,-112.0840505
1948,647.2,1.7731507,0,15.200002,1588.8599,4.3530407,-18.711,23.088999,42.90106472,-112.0840505
1949,658.3,1.8085165,0,25.7,1619.8647,4.4501777,-21.008915,24.249414,42.90106472,-112.0840505
1950,708.89996,1.9475274,0,16.5,1507.8008,4.1423097,-21.955833,23.673334,42.90106472,-112.0840505
1951,697.6,1.9164834,0,19.900002,1234.3225,3.390996,-24.949583,24.315002,42.90106472,-112.0840505
1952,576.1,1.5783561,0,24.099997,1628.1521,4.4606905,-21.335,22.560835,42.90106472,-112.0840505
1953,671.3,1.8442308,0,19.7,1843.1683,5.063649,-18.359999,23.19,42.90106472,-112.0840505
1954,558.7,1.5348902,0,18.6,1821.6766,5.0046062,-15.028748,25.00875,42.90106472,-112.0840505
1955,649.6,1.7846153,0,17.800003,1040.2141,2.857731,-23.474585,23.575417,42.90106472,-112.0840505
1956,651.80005,1.7857536,0,23.099998,1570.7144,4.303327,-22.112082,23.381666,42.90106472,-112.0840505
1957,684.7,1.881044,0,20.2,1453.3453,3.992707,-20.19125,22.883753,42.90106472,-112.0840505
1958,602.2,1.6543956,0,18.400002,1960.1663,5.385072,-15.1225,24.590002,42.90106472,-112.0840505
1959,572.7,1.5733517,0,18.300001,1729.7601,4.752088,-24.332918,23.554583,42.90106472,-112.0840505
1960,609.89996,1.6709588,0,15.900001,1590.6396,4.357917,-22.945417,25.669167,42.90106472,-112.0840505
1961,666.7001,1.8315936,0,30.300001,1605.3683,4.410352,-20.639168,25.03375,42.90106472,-112.0840505
1962,640,1.7582418,0,27.400003,1645.2911,4.5200305,-22.741251,22.39625,42.90106472,-112.0840505
1963,811.60004,2.2296705,0,25.599998,1710.033,4.6978927,-26.159998,23.502502,42.90106472,-112.0840505
1964,670.80005,1.8378084,0,26.3,1194.148,3.2716382,-17.797499,22.702501,42.90106472,-112.0840505
1965,775,2.1291208,0,23.100002,1458.9434,4.008086,-22.766253,23.07125,42.90106472,-112.0840505
1966,513.8,1.4115385,0,25.800005,1891.583,5.1966567,-18.607916,23.800415,42.90106472,-112.0840505
1967,769.2999,2.1134613,0,18.900002,1631.5411,4.482256,-16.189161,22.36292,42.90106472,-112.0840505
1968,711.19995,1.948493,0,24.899998,1312.6311,3.5962496,-24.3225,22.967081,42.90106472,-112.0840505
1969,597.3,1.640934,0,19.400002,1654.7517,4.546021,-16.682917,23.794167,42.90106472,-112.0840505
1970,724,1.9890109,0,18.100002,1425.8578,3.9171917,-22.34333,23.27542,42.90106472,-112.0840505
1971,762.39996,2.0945053,0,20,1231.8163,3.3841107,-23.79125,23.242083,42.90106472,-112.0840505
1972,734.6,2.0126026,0,19.6,1476.8125,4.0460615,-22.012085,23.579584,42.90106472,-112.0840505
1973,738.9,2.0299451,0,28.600002,1386.1227,3.8080294,-28.759996,24.225416,42.90106472,-112.0840505
1974,606.8,1.667033,0,25.6,1748.5933,4.803828,-23.280832,23.187918,42.90106472,-112.0840505
1975,768.10004,2.1101649,0,20.500002,1115.7434,3.0652292,-19.937082,23.394167,42.90106472,-112.0840505
1976,645.2,1.7676712,0,24.5,1577.2542,4.3212442,-19.40375,22.975418,42.90106472,-112.0840505
1977,567.9,1.5601649,0,24,1671.612,4.592341,-19.31625,22.069168,42.90106472,-112.0840505
1978,747.7,2.054121,0,17.7,1934.2454,5.313861,-19.182917,24.479584,42.90106472,-112.0840505
1979,560.5,1.5398352,0,21.400002,1672.4119,4.594538,-25.96625,25.842085,42.90106472,-112.0840505
1980,853.9,2.339452,0,18.200003,1629.4064,4.464127,-18.95167,22.223333,42.90106472,-112.0840505
1981,587.60004,1.6142858,0,28.700003,2158.2456,5.929246,-14.884998,22.027502,42.90106472,-112.0840505
1982,1010.4,2.7758243,0,32.9,1246.1372,3.4234538,-22.845415,21.819166,42.90106472,-112.0840505
1983,919.49994,2.5260987,0,20.1,1576.4434,4.3308883,-17.716251,22.590002,42.90106472,-112.0840505
1984,812.5,2.2260275,0,19.300001,1094.3666,2.9982646,-24.832918,21.073332,42.90106472,-112.0840505
1985,637.4,1.751099,0,28.2,1302.9703,3.579589,-24.255835,23.089998,42.90106472,-112.0840505
1986,895.2,2.4593408,0,24.400003,1641.1412,4.50863,-19.351667,22.385834,42.90106472,-112.0840505
1987,509.39996,1.3994504,0,25.7,2065.2393,5.673734,-16.595417,21.004583,42.90106472,-112.0840505
1988,448,1.2273972,0,20.5,2150.7812,5.8925514,-17.632917,24.198334,42.90106472,-112.0840505
1989,664.3,1.8249999,0,18.5,1633.0267,4.486337,-22.29125,24.18792,42.90106472,-112.0840505
1990,544.4,1.4956045,0,22.400002,2038.5245,5.6003423,-15.576667,23.885834,42.90106472,-112.0840505
1991,674.5,1.853022,0,22.100002,1507.3184,4.1409845,-31.824585,22.467087,42.90106472,-112.0840505
1941,239.20001,0.6571429,0,9.700001,2507.5942,6.888995,-20.282417,29.598837,43.89723459,-107.963072
1942,308.3,0.846978,0,14.200002,1987.7753,5.4609213,-27.276167,27.761335,43.89723459,-107.963072
1943,303.5,0.8337912,0,16.2,2642.013,7.2582774,-25.494917,28.163416,43.89723459,-107.963072
1944,436.40002,1.1956165,0,29.000004,2167.364,5.9379835,-18.986582,27.509249,43.89723459,-107.963072
1945,471.69998,1.2923287,0,32.300003,1956.5992,5.3605456,-23.030333,28.042582,43.89723459,-107.963072
1946,320.4,0.88021976,0,31.1,2096.5732,5.7598166,-18.692835,29.115501,43.89723459,-107.963072
1947,404.90002,1.1123627,0,28.500002,1800.865,4.947431,-23.240746,29.125916,43.89723459,-107.963072
1948,273.8,0.750137,0,21,2671.895,7.3202605,-23.957413,30.061335,43.89723459,-107.963072
1949,342.3,0.94038457,0,42.09999,2434.865,6.6891894,-28.953253,29.59675,43.89723459,-107.963072
1950,359.7,0.98818684,0,23.900002,2416.4739,6.6386647,-29.559084,27.784666,43.89723459,-107.963072
1951,349.7,0.96071434,0,21.300001,2592.4478,7.1221094,-24.50492,29.686747,43.89723459,-107.963072
1952,264.7,0.72520554,0,25.100002,2722.4573,7.458787,-25.534088,28.522165,43.89723459,-107.963072
1953,298,0.8186813,0,18.500004,2966.3667,8.149359,-18.498667,30.349245,43.89723459,-107.963072
1954,194.1,0.53324175,0,16.6,3264.7979,8.969225,-19.82575,31.970083,43.89723459,-107.963072
